team,player,x,y,shot_statsbomb_xg,is_goal,on_target
Senegal,Ismaïla Sarr,97.5,44.1,0.059537582,False,False
Netherlands,Daley Blind,112.8,32.9,0.04866169,False,False
Netherlands,Vincent Janssen,98.3,44.3,0.03382374,False,False
Senegal,Ismaïla Sarr,102.7,25.9,0.034923773,False,False
Netherlands,Virgil van Dijk,109.4,38.0,0.045367446,False,False
Senegal,Idrissa Gana Gueye,100.9,48.4,0.025139945,False,False
Senegal,Krépin Diatta,100.0,56.6,0.03131155,False,False
Senegal,Youssouf Sabaly,84.7,54.0,0.0068181115,False,True
Netherlands,Steven Berghuis,97.2,47.3,0.030127633,False,False
Netherlands,Virgil van Dijk,111.1,40.2,0.06871433,False,False
Senegal,Youssouf Sabaly,96.9,57.9,0.011074076,False,False
Senegal,Krépin Diatta,115.2,50.5,0.058196757,False,False
Netherlands,Steven Berghuis,95.3,32.8,0.038496487,False,False
Senegal,Boulaye Dia,107.6,56.5,0.04221427,False,True
Senegal,Idrissa Gana Gueye,103.3,40.4,0.06520781,False,True
Senegal,Cheikh Ahmadou Bamba Mbacke Dieng,104.3,31.7,0.07416881,False,False
Senegal,Ismaïla Sarr,111.3,40.6,0.06430619,False,False
Netherlands,Cody Mathès Gakpo,112.3,39.0,0.28603274,True,True
Senegal,Pape Gueye,93.8,56.8,0.008650101,False,True
Senegal,Ismail Jakobs,91.0,27.5,0.014392905,False,False
Senegal,Cheikh Ahmadou Bamba Mbacke Dieng,112.8,35.7,0.16068545,False,False
Netherlands,Memphis Depay,101.2,50.1,0.102816984,False,True
Netherlands,Davy Klaassen,109.5,34.8,0.34814927,True,True
United States,Joshua Sargent,116.0,35.3,0.25332773,False,False
Wales,Ethan Ampadu,87.6,43.1,0.013776194,False,False
United States,Sergino Dest,90.9,56.6,0.0066337776,False,False
United States,Timothy Weah,107.7,37.8,0.20100605,True,True
Wales,Ben Davies,114.7,37.5,0.14399761,False,False
Wales,Kieffer Roberto Francisco Moore,93.4,42.2,0.032130886,False,False
Wales,Ben Davies,109.2,38.3,0.18666926,False,True
Wales,Kieffer Roberto Francisco Moore,116.3,43.4,0.19270518,False,False
United States,Haji Wright,106.6,46.9,0.027433796,False,False
United States,Brenden Aaronson,116.3,46.7,0.09428854,False,False
Wales,Gareth Frank Bale,108.0,40.0,0.7835,True,True
Wales,Brennan Johnson,109.9,56.2,0.042556882,False,True
United States,Tyler Adams,92.8,35.5,0.019808901,False,False
Saudi Arabia,Mohammed Al Burayk,91.6,24.8,0.012477021,False,False
Saudi Arabia,Mohammed Kanoo,105.5,54.5,0.03839731,False,True
Poland,Krystian Bielik,111.7,39.3,0.075333446,False,False
Saudi Arabia,Saleh Khalid Al Shehri,108.5,45.0,0.044610713,False,False
Poland,Piotr Zieliński,111.9,44.7,0.23496674,True,True
Poland,Robert Lewandowski,112.9,58.5,0.009729679,False,False
Saudi Arabia,Salem Mohammed Al Dawsari,108.1,40.1,0.7835,False,True
Saudi Arabia,Mohammed Al Burayk,112.7,32.9,0.35719204,False,True
Saudi Arabia,Saud Abdullah Abdul Hamid,85.9,24.5,0.005913877,False,False
Saudi Arabia,Mohammed Kanoo,104.2,39.3,0.03705331,False,False
Saudi Arabia,Salem Mohammed Al Dawsari,97.6,21.6,0.010959039,False,False
Saudi Arabia,Salem Mohammed Al Dawsari,114.6,36.1,0.16438472,False,True
Saudi Arabia,Abdulelah Saad Hameed Al-Malki,97.0,40.0,0.0391187,False,False
Saudi Arabia,Firas Tariq Nasser Al Albirakan,112.9,27.5,0.11089649,False,False
Saudi Arabia,Mohammed Kanoo,107.3,49.4,0.07597345,False,False
Poland,Arkadiusz Milik,111.0,38.8,0.13519733,False,False
Poland,Robert Lewandowski,115.1,44.4,0.25903136,False,False
Saudi Arabia,Nawaf Shaker Al Abid,95.1,46.7,0.0660456,False,False
Saudi Arabia,Salem Mohammed Al Dawsari,96.0,34.2,0.03677261,False,True
Poland,Robert Lewandowski,107.3,49.0,0.09536816,False,False
Saudi Arabia,Abdulelah Saad Hameed Al-Malki,103.2,34.7,0.10027991,False,False
Poland,Krzysztof Piątek,107.4,41.4,0.02819521,False,False
Poland,Robert Lewandowski,107.2,44.6,0.47824246,True,True
Saudi Arabia,Abdulrahman Al-Obood,118.0,48.2,0.041744728,False,False
Poland,Robert Lewandowski,109.9,48.1,0.4181081,False,True
Saudi Arabia,Mohammed Kanoo,95.3,32.9,0.046656966,False,False
Netherlands,Memphis Depay,114.9,52.7,0.04113277,False,False
Qatar,Hassan Khalid Al Heidos,89.6,52.0,0.015712837,False,True
Netherlands,Daley Blind,114.1,29.0,0.10723932,False,True
Netherlands,Daley Blind,115.2,28.6,0.042171385,False,False
Netherlands,Cody Mathès Gakpo,93.2,29.5,0.023612352,False,False
Netherlands,Frenkie de Jong,96.9,32.3,0.032602046,False,False
Netherlands,Memphis Depay,107.4,31.3,0.14338174,False,False
Netherlands,Davy Klaassen,113.0,44.5,0.08364612,False,False
Qatar,Abdelkarim Hassan Al Haj Fadlalla,109.2,45.5,0.067132466,False,False
Netherlands,Memphis Depay,113.6,30.5,0.0753362,False,False
Netherlands,Cody Mathès Gakpo,103.3,39.8,0.14035599,True,True
Qatar,Ismaeel Mohammad Mohammad,93.9,39.3,0.03016361,False,True
