player,team,Goals,xG,Shots_On_Target,Total_Passes,Completed_Passes,Key_Passes,Defensive_Actions,Saves
Famara Diedhiou,Senegal,1.0,0.238120196,1.0,14.0,10.0,1.0,6.0,0.0
Federico Santiago Valverde Dipetta,Uruguay,0.0,0.11665369960000001,1.0,186.0,152.0,4.0,31.0,0.0
Felix Eduardo Torres Caicedo,Ecuador,0.0,0.15397952,0.0,199.0,159.0,0.0,30.0,0.0
Ferjani Sassi,Tunisia,0.0,0.020219443,0.0,34.0,25.0,0.0,6.0,0.0
Ferrán Torres García,Spain,2.0,1.005212115,2.0,86.0,62.0,1.0,9.0,0.0
Filip Kostić,Serbia,0.0,0.012009094,0.0,112.0,73.0,1.0,19.0,0.0
Filip Mladenović,Serbia,0.0,0.026318645,0.0,24.0,19.0,0.0,6.0,0.0
Filip Đuričić,Serbia,0.0,0.0,0.0,6.0,5.0,1.0,0.0,0.0
Firas Tariq Nasser Al Albirakan,Saudi Arabia,0.0,0.124001969,0.0,69.0,46.0,1.0,18.0,0.0
Fodé Ballo Touré,Senegal,0.0,0.0,0.0,8.0,6.0,0.0,3.0,0.0
Fran Karačić,Australia,0.0,0.05547327569999999,0.0,55.0,35.0,1.0,19.0,0.0
Francisco Guillermo Ochoa Magaña,Mexico,0.0,0.0,0.0,108.0,90.0,0.0,17.0,3.0
Francisco Javier Calvo Quesada,Costa Rica,0.0,0.014244432,0.0,101.0,85.0,0.0,20.0,0.0
Frederico Rodrigues Santos,Brazil,0.0,0.46720207,1.0,80.0,68.0,4.0,14.0,0.0
Frenkie de Jong,Netherlands,1.0,0.720993446,1.0,364.0,327.0,4.0,45.0,0.0
Fábio Henrique Tavares,Brazil,0.0,0.0,0.0,56.0,50.0,0.0,7.0,0.0
Gabriel Fernando de Jesus,Brazil,0.0,0.323986363,1.0,27.0,23.0,4.0,9.0,0.0
Gabriel Teodoro Martinelli Silva,Brazil,0.0,0.405829787,3.0,46.0,34.0,3.0,10.0,0.0
Garang Kuol,Australia,0.0,0.23394231,1.0,4.0,3.0,0.0,1.0,0.0
Gareth Frank Bale,Wales,1.0,0.8052008399999999,2.0,55.0,34.0,2.0,10.0,0.0
Gaël Ondoua,Cameroon,0.0,0.0,0.0,19.0,17.0,0.0,11.0,0.0
Georges-Kévin Nkoudou Mbida,Cameroon,0.0,0.0070103277,1.0,11.0,9.0,0.0,5.0,0.0
Germán Alejandro Pezzella,Argentina,0.0,0.04452438,0.0,49.0,47.0,0.0,4.0,0.0
Gerson Torres Barrantes,Costa Rica,0.0,0.01353695,0.0,17.0,17.0,0.0,4.0,0.0
Ghilane Chalali,Tunisia,0.0,0.0,0.0,5.0,4.0,0.0,6.0,0.0
Gideon Mensah,Ghana,0.0,0.0,0.0,45.0,35.0,1.0,17.0,0.0
Giorgian Daniel De Arrascaeta Benedetti,Uruguay,2.0,1.13451217,3.0,51.0,34.0,3.0,9.0,0.0
Giovanni Reyna,United States,0.0,0.08602206000000001,0.0,35.0,26.0,3.0,4.0,0.0
Gleison Bremer Silva Nascimento,Brazil,0.0,0.34439024,1.0,85.0,79.0,0.0,15.0,0.0
Gonzalo Ariel Montiel,Argentina,2.0,1.587604363,2.0,82.0,71.0,3.0,11.0,0.0
Gonzalo Jordy Plata Jiménez,Ecuador,0.0,0.105323937,1.0,104.0,78.0,2.0,16.0,0.0
Gonçalo Matias Ramos,Portugal,3.0,1.671089706,5.0,30.0,24.0,2.0,9.0,0.0
Granit Xhaka,Switzerland,0.0,0.295522079,3.0,240.0,211.0,2.0,25.0,0.0
