player,team,Goals,xG,Total_Passes,Successful_Passes
Ismael Koné,Canada,0.0,0.0,102.0,96.0
Ismail Jakobs,Senegal,0.0,0.014392905,157.0,105.0
Ismaïla Sarr,Senegal,1.0,1.848790219,81.0,57.0
Issam Jebali,Tunisia,0.0,0.5930872340000001,37.0,29.0
Ivan Ilić,Serbia,0.0,0.0,20.0,19.0
Ivan Perišić,Croatia,1.0,0.7556302263,304.0,214.0
Iñaki Williams Arthuer,Ghana,0.0,0.126027007,44.0,33.0
Jack Grealish,England,1.0,0.6262809,56.0,49.0
Jackson Gabriel Porozo Vernaza,Ecuador,0.0,0.052534856,42.0,37.0
Jackson Irvine,Australia,0.0,0.33239220599999997,129.0,107.0
Jae-Sung Lee,South Korea,0.0,0.021393217,96.0,84.0
Jakub Kamiński,Poland,0.0,0.26249409,59.0,35.0
Jakub Piotr Kiwior,Poland,0.0,0.12449861,201.0,169.0
Jamal Musiala,Germany,0.0,1.152516099,117.0,94.0
Jamie MacLaren,Australia,0.0,0.0,16.0,7.0
Jan Bednarek,Poland,0.0,0.0,6.0,6.0
Jan Vertonghen,Belgium,0.0,0.10772621,264.0,237.0
Jason Cummings,Australia,0.0,0.0,6.0,4.0
Jawad El Yamiq,Morocco,0.0,0.06408756,160.0,143.0
Jean-Charles Castelletto,Cameroon,1.0,0.8945071,78.0,63.0
Jean-Eric Maxim Choupo-Moting,Cameroon,1.0,0.5235422875,69.0,47.0
Jeremy Doku,Belgium,0.0,0.0,14.0,8.0
Jeremy Leonel Sarmiento Morante,Ecuador,0.0,0.02928531,33.0,24.0
Jerome Ngom Mbekeli,Cameroon,0.0,0.0,2.0,1.0
Jesper Lindstrøm,Denmark,0.0,0.334183148,54.0,38.0
Jesus Ferreira,United States,0.0,0.0,20.0,17.0
Jesús Daniel Gallardo Vasconcelos,Mexico,0.0,0.06430086,138.0,97.0
Jewison Bennette,Costa Rica,0.0,0.037811525,15.0,11.0
Jhegson Sebastián Méndez Carabalí,Ecuador,0.0,0.0,141.0,130.0
Jin-Su Kim,South Korea,0.0,0.285274066,141.0,102.0
Joachim Andersen,Denmark,0.0,0.1448613,245.0,199.0
Joakim Mæhle,Denmark,0.0,0.042316963,145.0,120.0
Joe Allen,Wales,0.0,0.063709024,36.0,30.0
Joe Rodon,Wales,0.0,0.0,162.0,147.0
Joel Nathaniel Campbell Samuels,Costa Rica,0.0,0.051288527,137.0,105.0
Johan Alberto Venegas Ulloa,Costa Rica,0.0,0.0,14.0,11.0
John Stones,England,0.0,0.587418711,450.0,430.0
Jonas Hofmann,Germany,0.0,0.32657883,20.0,16.0
Jonathan David,Canada,0.0,0.8128135049999999,59.0,43.0
Jonathan Osorio,Canada,0.0,0.03829635,60.0,54.0
Jordan Ayew,Ghana,0.0,0.07146578,44.0,34.0
Jordan Brian Henderson,England,1.0,0.148950994,166.0,141.0
Jordan Morris,United States,0.0,0.0,4.0,2.0
Jordan Pickford,England,0.0,0.0,161.0,126.0
Jordan Veretout,France,0.0,0.0,35.0,32.0
Jordi Alba Ramos,Spain,0.0,0.045861136,371.0,329.0
Jorge Eduardo Sánchez Ramos,Mexico,0.0,0.0069717234,86.0,72.0
Jorge Resurrección Merodio,Spain,0.0,0.0,63.0,56.0
Joseff Morrell,Wales,0.0,0.0,13.0,12.0
Joshua Kimmich,Germany,0.0,0.334518198,271.0,229.0
Joshua Sargent,United States,0.0,0.362028482,34.0,30.0
Josip Juranović,Croatia,0.0,0.041306578,406.0,326.0
Josip Stanišić,Croatia,0.0,0.040524755,49.0,36.0
Josip Šutalo,Croatia,0.0,0.0,66.0,62.0
José Adoni Cifuentes Charcopa,Ecuador,0.0,0.025271386,43.0,33.0
José Andrés Guardado Hernández,Mexico,0.0,0.0,16.0,11.0
José Diogo Dalot Teixeira,Portugal,0.0,0.036435805,142.0,115.0
José Martín Cáceres Silva,Uruguay,0.0,0.0,81.0,68.0
José María Giménez de Vargas,Uruguay,0.0,0.129368291,167.0,140.0
João Félix Sequeira,Portugal,1.0,0.669207472,122.0,94.0
João Maria Lobo Alves Palhinha Gonçalves,Portugal,0.0,0.021024177,30.0,26.0
João Mário Naval da Costa Eduardo,Portugal,0.0,0.0,40.0,37.0
João Pedro Cavaco Cancelo,Portugal,0.0,0.054823571,269.0,224.0
Joško Gvardiol,Croatia,1.0,0.186105118,510.0,463.0
Juan Marcos Foyth,Argentina,0.0,0.0,4.0,3.0
Juan Pablo Vargas Campos,Costa Rica,0.0,0.18427365,28.0,22.0
Jude Bellingham,England,1.0,0.841256374,275.0,242.0
Jules Koundé,France,0.0,0.16960582600000002,308.0,258.0
Jules Olivier Ntcham,Cameroon,0.0,0.03332142,12.0,11.0
Julián Álvarez,Argentina,4.0,1.908327433,124.0,93.0
Jun-Ho Son,South Korea,0.0,0.0,61.0,56.0
Junya Ito,Japan,0.0,0.11059656,98.0,63.0
Jurriën David Norman Timber,Netherlands,0.0,0.0,316.0,286.0
Kai Havertz,Germany,2.0,1.155300964,33.0,26.0
Kalidou Koulibaly,Senegal,1.0,0.23427999,196.0,152.0
Kalvin Phillips,England,0.0,0.0,19.0,18.0
